week_start,orders,orders_intl,units,revenue_index,revenue_index_intl,merch_index,shipping_index
2019-04-15,1,1,2,18.72,18.72,16.59,2.13
2019-04-22,3,0,5,34.02,0.0,30.41,3.61
2019-04-29,2,2,2,24.93,24.93,20.15,4.77
2019-05-06,4,2,14,31.16,20.95,25.46,5.7
2019-05-13,2,2,4,33.33,33.33,28.12,5.2
2019-05-20,0,0,0,0.0,0.0,0.0,0.0
2019-05-27,3,2,20,25.66,11.6,22.2,3.46
2019-06-03,2,1,3,17.55,13.77,15.32,2.6
2019-06-10,2,1,3,19.2,6.79,17.17,2.03
2019-06-17,1,1,1,10.22,10.22,8.51,1.71
2019-06-24,2,1,2,19.73,8.23,15.79,3.95
2019-07-01,1,1,2,12.07,12.07,9.57,2.5
2019-07-08,2,1,3,16.78,9.98,13.24,3.71
2019-07-15,1,0,1,10.86,0.0,9.02,1.84
2019-07-22,2,1,2,23.85,5.37,20.15,3.69
2019-07-29,0,0,0,0.0,0.0,0.0,0.0
2019-08-05,2,0,4,34.53,0.0,29.97,4.55
2019-08-12,3,0,3,33.72,0.0,29.47,4.26
2019-08-19,0,0,0,0.0,0.0,0.0,0.0
2019-08-26,1,1,5,14.47,14.47,11.93,2.54
2019-09-02,4,2,5,46.48,23.87,40.53,5.95
2019-09-09,0,0,0,0.0,0.0,0.0,0.0
2019-09-16,1,0,1,4.5,0.0,3.93,0.57
2019-09-23,0,0,0,0.0,0.0,0.0,0.0
2019-09-30,0,0,0,0.0,0.0,0.0,0.0
2019-10-07,0,0,0,0.0,0.0,0.0,0.0
2019-10-14,0,0,0,0.0,0.0,0.0,0.0
2019-10-21,1,1,2,12.77,12.77,10.04,2.73
2019-10-28,0,0,0,0.0,0.0,0.0,0.0
2019-11-04,0,0,0,0.0,0.0,0.0,0.0
2019-11-11,0,0,0,0.0,0.0,0.0,0.0
2019-11-18,0,0,0,0.0,0.0,0.0,0.0
2019-11-25,0,0,0,0.0,0.0,0.0,0.0
2019-12-02,1,1,3,10.57,10.57,8.37,2.2
2019-12-09,3,1,3,34.87,8.14,28.01,7.21
2019-12-16,3,1,19,19.26,14.51,16.15,3.11
2019-12-23,2,0,2,23.75,0.0,20.44,3.3
2019-12-30,3,2,5,40.59,22.25,34.19,6.4
2020-01-06,4,3,6,60.68,57.99,55.39,5.36
2020-01-13,2,0,3,36.22,0.0,33.54,3.12
2020-01-20,2,1,3,23.92,10.79,18.92,5.0
2020-01-27,1,1,2,22.8,22.8,20.3,2.5
2020-02-03,1,1,1,5.32,5.32,3.78,1.54
2020-02-10,0,0,0,0.0,0.0,0.0,0.0
2020-02-17,0,0,0,0.0,0.0,0.0,0.0
2020-02-24,2,1,4,18.83,6.16,14.62,4.36
2020-03-02,2,1,5,33.35,19.26,28.38,4.98
2020-03-09,3,1,3,32.91,11.78,27.28,5.64
2020-03-16,0,0,0,0.0,0.0,0.0,0.0
2020-03-23,2,0,3,31.96,0.0,27.21,5.12
2020-03-30,4,0,4,32.81,0.0,26.26,7.05
2020-04-06,2,1,2,23.3,11.15,19.72,3.58
2020-04-13,3,1,6,49.93,28.34,45.62,6.98
2020-04-20,3,1,4,53.45,19.0,48.02,6.34
2020-04-27,2,0,3,19.06,0.0,16.51,2.55
2020-05-04,1,1,1,6.52,6.52,3.93,2.6
2020-05-11,1,0,2,26.03,0.0,22.12,3.91
2020-05-18,2,0,3,27.43,0.0,22.63,4.8
2020-05-25,6,2,6,64.55,18.17,55.8,8.75
2020-06-01,1,0,1,11.08,0.0,9.02,2.06
2020-06-08,3,1,3,22.79,7.08,17.09,5.7
2020-06-15,4,2,6,41.87,22.07,33.39,8.48
2020-06-22,2,1,2,10.13,7.1,7.86,2.27
2020-06-29,2,2,3,24.43,24.43,21.8,2.63
2020-07-06,3,2,4,28.82,19.04,22.77,6.05
2020-07-13,5,1,7,64.18,6.44,54.6,9.58
2020-07-20,3,2,5,37.23,25.54,30.78,7.18
2020-07-27,1,0,1,22.18,0.0,22.18,0.0
2020-08-03,1,1,1,12.63,12.63,9.53,3.1
2020-08-10,1,1,2,13.18,13.18,10.62,2.55
2020-08-17,8,3,27,135.99,74.22,119.7,16.29
2020-08-24,2,0,2,35.6,0.0,30.56,5.04
2020-08-31,4,0,4,64.22,0.0,56.62,7.6
2020-09-07,2,0,2,23.08,0.0,18.19,4.89
2020-09-14,2,1,2,19.38,11.71,16.15,3.23
2020-09-21,2,1,2,20.68,10.53,17.24,3.44
2020-09-28,1,0,2,9.93,0.0,7.78,2.15
2020-10-05,1,0,1,6.07,0.0,3.93,2.15
2020-10-12,2,1,5,30.61,16.26,21.03,9.58
2020-10-19,0,0,0,0.0,0.0,0.0,0.0
2020-10-26,1,1,1,18.22,18.22,15.28,2.94
2020-11-02,5,2,7,61.54,33.95,44.23,18.01
2020-11-09,1,1,1,28.93,28.93,28.93,0.0
2020-11-16,3,0,3,48.04,0.0,45.99,2.05
2020-11-23,4,2,5,54.55,34.21,41.61,12.94
2020-11-30,5,1,7,56.88,13.82,45.47,11.41
2020-12-07,3,1,4,44.44,17.39,36.08,8.36
2020-12-14,0,0,0,0.0,0.0,0.0,0.0
2020-12-21,0,0,0,0.0,0.0,0.0,0.0
2020-12-28,1,0,1,13.64,0.0,12.79,0.86
2021-01-04,4,1,6,113.51,13.13,101.12,12.6
2021-01-11,1,0,1,15.07,0.0,10.84,4.23
2021-01-18,2,1,2,27.68,13.72,24.42,4.23
2021-01-25,1,1,1,13.13,13.13,7.64,5.49
2021-02-01,1,1,1,10.85,10.85,7.78,3.06
2021-02-08,0,0,0,0.0,0.0,0.0,0.0
2021-02-15,0,0,0,0.0,0.0,0.0,0.0
2021-02-22,1,0,3,21.2,0.0,16.37,4.83
2021-03-01,1,0,1,4.16,0.0,3.93,0.23
2021-03-08,0,0,0,0.0,0.0,0.0,0.0
2021-03-15,2,0,3,25.27,0.0,20.08,5.19
2021-03-22,2,2,2,28.05,28.05,19.72,8.33
2021-03-29,4,0,6,60.21,0.0,47.29,12.92
2021-04-05,0,0,0,0.0,0.0,0.0,0.0
2021-04-12,0,0,0,0.0,0.0,0.0,0.0
2021-04-19,0,0,0,0.0,0.0,0.0,0.0
2021-04-26,4,2,9,61.01,27.95,44.31,16.91
2021-05-03,1,1,2,18.86,18.86,14.34,4.53
2021-05-10,2,0,3,34.98,0.0,26.34,8.65
2021-05-17,2,0,3,32.29,0.0,28.2,4.09
2021-05-24,0,0,0,0.0,0.0,0.0,0.0
2021-05-31,2,1,6,49.56,38.52,42.63,6.93
2021-06-07,2,0,2,21.39,0.0,14.55,6.85
2021-06-14,3,3,10,0.58,0.58,0.58,0.0
2021-06-21,0,0,0,0.0,0.0,0.0,0.0
2021-06-28,1,0,2,17.91,0.0,13.53,4.38
2021-07-05,0,0,0,0.0,0.0,0.0,0.0
2021-07-12,3,3,3,45.58,45.58,34.85,11.28
2021-07-19,3,0,3,45.15,0.0,35.29,12.88
2021-07-26,2,1,8,49.17,18.96,35.92,14.82
2021-08-02,3,2,5,44.9,32.83,35.43,9.47
2021-08-09,3,0,5,39.1,0.0,26.48,12.62
2021-08-16,0,0,0,0.0,0.0,0.0,0.0
2021-08-23,2,1,2,39.42,23.77,31.43,7.99
2021-08-30,1,0,1,15.35,0.0,10.91,4.44
2021-09-06,4,0,4,54.23,0.0,36.96,17.28
2021-09-13,1,0,1,15.9,0.0,11.42,4.47
2021-09-20,3,0,4,44.52,0.0,31.28,13.24
2021-09-27,0,0,0,0.0,0.0,0.0,0.0
2021-10-04,1,0,4,0.25,0.0,0.25,0.0
2021-10-11,4,2,5,97.07,41.65,84.26,12.81
2021-10-18,6,2,9,100.51,36.58,70.42,30.09
2021-10-25,0,0,0,0.0,0.0,0.0,0.0
2021-11-01,2,2,2,27.43,27.43,18.41,9.02
2021-11-08,2,1,3,30.2,15.13,23.42,7.41
2021-11-15,3,1,11,66.27,18.01,52.86,13.41
2021-11-22,2,1,2,26.44,14.32,17.46,8.98
2021-11-29,3,0,5,51.59,0.0,38.56,13.03
2021-12-06,3,0,4,42.79,0.0,33.41,9.38
2021-12-13,2,1,6,46.9,13.71,35.65,13.14
2021-12-20,1,0,1,15.51,0.0,10.62,4.89
2021-12-27,4,2,6,73.13,33.8,55.3,18.2
2022-01-03,3,0,5,41.93,0.0,26.62,15.31
2022-01-10,1,0,2,15.83,0.0,10.62,5.21
2022-01-17,3,1,3,66.2,24.92,50.21,15.99
2022-01-24,0,0,0,0.0,0.0,0.0,0.0
2022-01-31,2,0,4,40.34,0.0,30.48,10.67
2022-02-07,3,3,5,56.49,56.49,45.76,10.73
2022-02-14,2,0,2,30.93,0.0,21.75,9.17
2022-02-21,2,1,7,28.15,11.8,17.34,10.81
2022-02-28,3,1,4,76.39,25.03,57.63,19.85
2022-03-07,5,1,6,82.87,16.7,54.64,28.23
2022-03-14,3,1,7,39.24,16.16,26.59,12.64
2022-03-21,3,0,5,61.28,0.0,45.62,15.66
2022-03-28,2,2,2,38.01,38.01,27.29,10.73
2022-04-04,1,1,1,14.49,14.49,9.09,5.4
2022-04-11,1,1,2,16.02,16.02,10.62,5.4
2022-04-18,1,0,2,24.46,0.0,19.21,5.26
2022-04-25,2,1,2,23.77,12.11,16.51,7.26
2022-05-02,0,0,0,0.0,0.0,0.0,0.0
2022-05-09,2,1,3,34.97,17.4,22.55,12.42
2022-05-16,3,1,3,47.79,23.44,37.25,10.53
2022-05-23,3,1,8,77.73,43.96,55.79,21.95
2022-05-30,1,0,1,16.93,0.0,10.91,6.01
2022-06-06,3,2,3,55.04,38.4,32.89,22.15
2022-06-13,0,0,0,0.0,0.0,0.0,0.0
2022-06-20,0,0,0,0.0,0.0,0.0,0.0
2022-06-27,6,1,9,114.69,14.54,78.86,35.83
2022-07-04,0,0,0,0.0,0.0,0.0,0.0
2022-07-11,0,0,0,0.0,0.0,0.0,0.0
2022-07-18,3,0,5,74.98,0.0,53.41,21.57
2022-07-25,0,0,0,0.0,0.0,0.0,0.0
2022-08-01,4,1,4,53.62,9.17,31.5,22.12
2022-08-08,2,1,3,29.83,13.26,18.33,11.5
2022-08-15,3,0,4,44.47,0.0,27.43,17.17
2022-08-22,1,0,2,10.35,0.0,7.56,2.78
2022-08-29,6,0,10,85.86,0.0,74.51,11.34
2022-09-05,5,2,6,64.84,25.7,53.91,10.93
2022-09-12,3,1,4,35.58,7.95,30.04,5.54
2022-09-19,5,4,8,88.87,76.31,74.14,14.73
2022-09-26,4,0,4,42.36,0.0,35.87,6.5
2022-10-03,3,0,3,26.8,0.0,22.48,4.32
2022-10-10,3,0,3,38.65,0.0,33.9,4.75
2022-10-17,5,4,7,62.05,49.51,48.67,13.38
2022-10-24,2,1,2,27.25,16.45,25.54,1.71
2022-10-31,5,1,6,52.63,10.67,43.14,9.49
2022-11-07,4,1,4,42.22,12.06,34.48,7.74
2022-11-14,2,0,2,19.49,0.0,16.44,3.05
2022-11-21,3,1,3,36.61,10.79,31.5,5.1
2022-11-28,6,2,8,96.05,28.39,80.83,15.4
2022-12-05,7,2,7,53.95,12.9,43.42,10.52
2022-12-12,6,1,6,60.25,15.11,48.45,11.8
2022-12-19,2,0,5,47.44,0.0,40.96,7.57
2022-12-26,4,1,8,80.23,8.64,66.49,13.74
2023-01-02,4,0,11,95.7,0.0,86.64,11.79
2023-01-09,2,1,2,19.18,5.94,15.42,3.75
2023-01-16,5,1,7,52.16,15.17,42.04,10.12
2023-01-23,7,3,13,93.15,57.05,75.79,17.36
2023-01-30,4,1,4,54.93,23.04,46.78,8.15
2023-02-06,2,2,2,28.26,28.26,21.83,6.43
2023-02-13,1,0,2,18.44,0.0,16.37,2.07
2023-02-20,3,1,4,39.74,13.97,32.45,7.48
2023-02-27,1,1,1,14.31,14.31,11.13,3.18
2023-03-06,5,3,5,51.01,30.31,39.79,11.21
2023-03-13,6,2,7,70.21,29.54,54.34,15.86
2023-03-20,3,1,4,39.69,11.27,34.49,5.45
2023-03-27,6,2,7,63.44,27.67,51.09,12.35
2023-04-03,1,1,1,8.11,8.11,5.53,2.58
2023-04-10,9,4,14,123.11,39.06,101.26,23.28
2023-04-17,4,2,5,49.47,18.92,40.45,9.02
2023-04-24,8,2,10,134.8,18.7,113.06,23.37
2023-05-01,8,5,10,99.66,72.9,77.7,25.35
2023-05-08,7,3,11,116.85,41.22,102.64,15.66
2023-05-15,6,1,8,85.13,11.18,72.9,12.23
2023-05-22,9,5,11,125.41,79.76,100.69,24.72
2023-05-29,4,2,4,53.86,22.46,43.8,10.43
2023-06-05,5,0,11,78.37,0.0,67.29,12.9
2023-06-12,9,1,24,85.76,10.31,73.97,12.51
2023-06-19,5,2,15,43.02,19.18,35.28,7.74
2023-06-26,11,3,14,137.1,39.77,115.4,21.92
2023-07-03,3,2,3,23.13,10.49,19.28,3.86
2023-07-10,7,2,9,83.97,14.36,71.87,13.6
2023-07-17,4,3,5,36.35,31.19,30.84,5.51
2023-07-24,3,1,3,31.58,13.74,25.32,6.26
2023-07-31,5,2,7,66.76,28.39,53.32,13.44
2023-08-07,6,4,7,70.94,48.72,60.15,10.91
2023-08-14,7,1,8,94.53,13.67,81.49,13.05
2023-08-21,6,0,8,63.33,0.0,53.4,9.94
2023-08-28,2,2,2,26.25,26.25,19.13,7.11
2023-09-04,6,2,7,67.29,13.22,57.9,9.39
2023-09-11,2,1,4,27.61,14.97,23.28,4.33
2023-09-18,2,0,3,19.0,0.0,16.81,2.2
2023-09-25,4,0,4,31.07,0.0,26.19,4.88
2023-10-02,2,1,2,19.03,13.69,15.2,3.82
2023-10-09,2,0,6,21.16,0.0,18.69,3.35
2023-10-16,2,0,4,54.51,0.0,51.01,3.5
2023-10-23,1,0,1,6.72,0.0,5.53,1.2
2023-10-30,6,1,7,73.11,14.98,61.64,11.47
2023-11-06,9,5,11,130.15,68.72,110.51,19.63
2023-11-13,3,0,4,31.63,0.0,26.35,5.28
2023-11-20,5,1,6,71.74,12.12,60.39,11.35
2023-11-27,9,4,14,104.63,49.8,88.62,17.01
2023-12-04,8,2,11,85.89,18.98,70.85,15.82
2023-12-11,11,5,13,110.15,53.87,88.53,21.74
2023-12-18,5,0,14,69.75,0.0,60.24,9.73
2023-12-25,10,3,12,106.95,37.98,92.61,15.73
2024-01-01,7,2,11,92.78,35.18,75.29,17.49
2024-01-08,12,6,16,138.58,59.37,113.7,24.87
2024-01-15,3,1,6,41.37,4.69,37.68,4.97
2024-01-22,5,1,6,46.74,19.48,37.75,8.99
2024-01-29,6,1,11,64.54,21.03,56.95,7.6
2024-02-05,4,1,4,36.82,10.67,30.92,5.9
2024-02-12,6,3,6,89.04,32.61,77.78,11.26
2024-02-19,5,2,8,57.32,16.05,49.6,7.87
2024-02-26,6,0,8,82.51,0.0,74.49,9.44
2024-03-04,9,2,10,99.11,22.17,82.35,16.76
2024-03-11,5,2,6,61.91,30.01,50.63,11.28
2024-03-18,6,0,7,47.48,0.0,38.97,8.51
2024-03-25,7,3,12,102.46,30.14,89.91,14.88
2024-04-01,8,3,9,86.97,33.15,71.3,15.67
2024-04-08,2,0,2,13.84,0.0,11.49,2.35
2024-04-15,6,2,7,69.22,19.97,57.11,12.11
2024-04-22,6,1,6,65.98,7.46,55.95,10.03
2024-04-29,5,2,6,57.76,26.88,51.72,6.04
2024-05-06,7,2,9,98.2,31.94,83.6,14.79
2024-05-13,4,2,6,48.53,15.05,41.97,6.55
2024-05-20,7,4,12,113.08,76.48,102.15,10.93
2024-05-27,2,1,3,29.15,14.45,24.04,5.11
2024-06-03,3,1,3,37.2,20.03,31.87,5.33
2024-06-10,7,1,8,79.98,10.01,66.79,13.2
2024-06-17,7,2,9,70.61,30.76,60.86,9.75
2024-06-24,6,2,12,72.09,36.24,61.98,12.07
2024-07-01,10,4,12,116.33,36.03,100.87,16.64
2024-07-08,7,2,8,79.3,24.76,66.78,12.51
2024-07-15,7,2,7,82.77,25.75,69.55,13.21
2024-07-22,2,1,2,21.79,14.6,17.1,4.7
2024-07-29,6,2,9,93.46,29.97,82.95,10.51
2024-08-05,8,3,10,76.53,26.35,63.93,12.74
2024-08-12,5,2,5,51.39,22.56,43.51,7.88
2024-08-19,7,0,12,94.8,0.0,79.23,15.57
2024-08-26,7,1,7,60.96,9.29,50.56,10.41
2024-09-02,6,3,7,66.61,37.11,55.29,11.32
2024-09-09,1,0,1,13.29,0.0,11.28,2.01
2024-09-16,4,2,6,49.2,36.85,41.51,7.69
2024-09-23,4,3,4,41.26,28.41,33.61,7.65
2024-09-30,7,2,11,91.67,43.42,77.26,14.59
2024-10-07,7,2,7,80.36,27.18,67.66,12.7
2024-10-14,7,2,15,85.01,30.45,70.68,14.34
2024-10-21,4,1,6,67.66,12.87,60.31,9.82
2024-10-28,6,3,6,71.24,35.06,57.91,13.33
2024-11-04,6,2,6,59.56,23.7,49.25,10.31
2024-11-11,6,2,6,57.67,17.09,49.25,8.42
2024-11-18,11,3,13,131.55,43.99,112.11,20.1
2024-11-25,12,3,12,133.12,33.72,111.82,21.95
2024-12-02,6,1,6,69.23,16.21,54.93,14.3
2024-12-09,8,0,9,108.6,0.0,92.18,16.42
2024-12-16,7,2,9,113.07,36.81,95.31,17.94
2024-12-23,5,3,6,40.42,30.15,30.69,9.73
2024-12-30,11,4,20,130.2,54.05,109.56,20.64
2025-01-06,7,2,7,55.4,13.46,43.64,11.76
2025-01-13,8,5,9,110.29,58.09,93.85,16.44
2025-01-20,6,2,13,98.29,34.16,86.92,14.09
2025-01-27,10,7,26,106.02,71.29,84.17,21.85
2025-02-03,9,4,11,122.43,49.39,93.69,28.73
2025-02-10,9,2,22,100.43,4.3,74.27,26.16
2025-02-17,4,2,7,60.12,23.66,42.85,17.27
2025-02-24,4,0,10,48.95,0.0,36.83,12.12
2025-03-03,9,3,10,117.55,32.32,87.66,29.89
2025-03-10,9,1,11,118.91,13.74,86.27,32.64
2025-03-17,6,1,6,74.6,4.72,53.69,20.91
2025-03-24,11,7,13,123.97,70.12,95.34,28.63
2025-03-31,4,1,7,57.1,11.16,40.74,16.55
2025-04-07,2,1,3,35.09,13.0,26.7,8.39
2025-04-14,4,1,4,81.29,14.15,43.07,38.22
2025-04-21,9,6,9,104.77,60.49,80.24,24.52
2025-04-28,3,3,3,25.35,25.35,19.35,6.0
2025-05-05,6,3,6,92.75,35.34,80.85,11.9
2025-05-12,2,0,2,11.59,0.0,6.98,4.61
2025-05-19,9,5,14,135.03,55.61,96.39,38.65
2025-05-26,6,2,8,108.68,42.73,81.85,26.83
2025-06-02,6,4,7,61.48,49.55,48.23,13.25
2025-06-09,4,1,4,62.17,10.69,46.27,15.89
2025-06-16,3,2,3,39.24,22.61,30.41,8.83
2025-06-23,3,1,3,35.25,15.19,21.75,13.5
2025-06-30,8,5,11,140.33,105.27,105.86,34.48
2025-07-07,1,0,1,14.34,0.0,8.37,5.97
2025-07-14,5,2,6,68.38,24.36,51.07,17.31
2025-07-21,9,4,11,121.04,45.71,86.29,34.75
2025-07-28,4,3,4,56.8,35.87,46.64,10.16
2025-08-04,1,1,1,7.85,7.85,7.64,0.21
2025-08-11,9,2,10,108.22,22.03,84.57,23.65
2025-08-18,4,3,5,54.57,34.42,47.29,7.28
2025-08-25,1,1,2,12.09,12.09,10.72,1.36
2025-09-01,4,1,8,53.02,5.13,45.17,9.31
2025-09-08,6,2,7,65.01,21.28,55.21,9.81
2025-09-15,3,3,5,35.1,35.1,27.35,7.75
2025-09-22,4,2,7,50.12,33.67,41.82,8.3
2025-09-29,2,2,2,18.44,18.44,15.49,2.95
2025-10-06,3,2,3,42.6,28.4,34.2,8.4
2025-10-13,4,1,5,31.4,12.2,26.23,5.17
2025-10-20,8,4,8,85.3,38.7,66.24,19.06
2025-10-27,2,1,2,24.46,13.4,19.72,4.75
2025-11-03,5,2,5,69.34,23.68,59.11,10.23
2025-11-10,6,5,8,94.32,72.56,84.32,9.99
2025-11-17,10,7,11,141.83,98.49,118.11,23.72
2025-11-24,9,6,12,94.51,66.9,72.23,22.29
2025-12-01,6,2,7,94.03,20.62,78.87,16.61
2025-12-08,4,2,5,64.5,32.14,55.08,9.42
2025-12-15,6,4,18,237.62,205.2,218.57,27.78
2025-12-22,6,3,6,85.0,40.35,71.01,14.14
2025-12-29,3,0,3,30.04,0.0,24.44,7.65
2026-01-05,9,4,12,152.26,70.9,126.82,26.17
2026-01-12,3,0,3,33.16,0.0,26.04,7.11
2026-01-19,5,2,5,61.54,37.41,49.62,11.93
2026-01-26,9,3,10,184.48,49.16,160.23,24.26
2026-02-02,7,1,7,71.49,7.26,53.76,18.45
2026-02-09,2,0,2,33.94,0.0,28.38,5.56
2026-02-16,3,1,4,59.54,6.48,50.57,8.97
2026-02-23,5,3,6,85.04,53.1,70.14,13.77
2026-03-02,6,3,8,85.27,45.17,69.62,16.37
2026-03-09,4,1,4,47.44,12.28,37.69,9.75
2026-03-16,7,3,8,106.48,33.88,87.23,19.24
2026-03-23,4,0,4,51.45,0.0,42.63,8.82
2026-03-30,3,1,5,58.89,6.7,49.18,9.71
2026-04-06,9,5,10,135.83,70.84,116.71,19.12
2026-04-13,10,3,11,151.22,44.93,124.12,25.54
2026-04-20,4,1,4,36.3,10.97,27.06,9.24
2026-04-27,0,0,0,0.0,0.0,0.0,0.0
2026-05-04,0,0,0,0.0,0.0,0.0,0.0
2026-05-11,1,0,1,19.77,0.0,16.74,3.04
2026-05-18,10,4,11,144.95,46.0,118.96,25.99
2026-05-25,3,1,3,54.16,21.67,45.48,8.68
2026-06-01,6,4,6,104.16,78.04,88.33,15.82
2026-06-08,5,0,6,79.13,0.0,64.97,14.16
2026-06-15,5,1,5,67.46,21.7,54.64,12.82
2026-06-22,2,2,2,43.88,43.88,38.28,5.6
2026-06-29,0,0,0,0.0,0.0,0.0,0.0
2026-07-06,0,0,0,0.0,0.0,0.0,0.0
2026-07-13,9,1,10,184.92,8.35,157.61,27.31
2026-07-20,8,2,8,119.76,41.48,98.44,21.31
2026-07-27,6,3,6,114.12,61.86,97.5,16.61
2026-08-03,6,2,6,114.85,42.16,97.72,17.12
2026-08-10,4,0,4,42.13,0.0,32.45,9.68
2026-08-17,12,4,15,194.62,60.08,160.64,33.98
2026-08-24,6,1,7,95.61,22.26,78.8,16.81
2026-08-31,7,2,8,100.63,18.77,81.56,19.07
2026-09-07,15,9,22,219.64,147.04,182.66,39.6
